date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity,total_mrp,total_sales
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40304419,Jivo cold-pressed-soyabean-oil 5 L Can ,5 L,12.0,13200.0,10418.11
20250801 - 20250810,Pune,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40304419,Jivo cold-pressed-soyabean-oil 5 L Can ,5 L,6.0,6600.0,5836.53
20250801 - 20250810,Noida,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166396,Jivo cold-press-kachi-ghani-mustard-oil 5 L Bottle ,5 L,13.0,16250.0,12460.34
20250801 - 20250810,Guwahati,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,2.0,2098.0,1125.44
20250801 - 20250810,Gurgaon,Jivo,beverages,fruit-juices-drinks,juices,40335334,Jivo apple-healthy-wheatgrass-juice 200 ml  ,200 ml,3.0,150.0,150.0
20250801 - 20250810,Noida Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249992,Jivo sunflower-oil-cold-pressed-fortified-with-vitamins-a-d-chemical-free 5 L Jar ,5 L,2.0,2700.0,1768.62
20250801 - 20250810,Hyderabad Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40304418,Jivo cold-pressed-soyabean-oil 1 L Bottle ,1 L,1.0,225.0,212.93
20250801 - 20250810,Agra,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40309980,Jivo pomace-olive-oil 2 L  ,2 L,1.0,1449.0,983.02
20250801 - 20250810,Mumbai,Jivo,beverages,fruit-juices-drinks,unsweetened-cold-press,40335330,Jivo ginger-ale-healthy-wheatgrass-juice-sugar-free 200 ml  ,200 ml,1.0,50.0,35.0
20250801 - 20250810,Gurgaon,Jivo,beverages,fruit-juices-drinks,juices,40335338,Jivo rose-healthy-wheatgrass-juice 200 ml  ,200 ml,3.0,150.0,130.0
20250801 - 20250810,Agra,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249992,Jivo sunflower-oil-cold-pressed-fortified-with-vitamins-a-d-chemical-free 5 L Jar ,5 L,2.0,2700.0,1517.6
20250801 - 20250810,Gurgaon,Jivo,beverages,fruit-juices-drinks,unsweetened-cold-press,40335332,Jivo fizzy-water-flavoured-with-lemon 750 ml  ,750 ml,1.0,55.0,38.5
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166397,Jivo extra-light-olive-oil 5 L Tin ,5 L,1.0,6499.0,3721.86
20250801 - 20250810,Bangalore,Jivo,beverages,fruit-juices-drinks,juices,40335337,Jivo mojito-healthy-wheatgrass-juice 200 ml  ,200 ml,1.0,50.0,30.0
20250801 - 20250810,Kolkata,Jivo,beverages,fruit-juices-drinks,juices,40335337,Jivo mojito-healthy-wheatgrass-juice 200 ml  ,200 ml,2.0,100.0,100.0
20250801 - 20250810,Patna,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,1.0,1049.0,562.72
20250801 - 20250810,Noida,Jivo,beverages,fruit-juices-drinks,juices,40335340,Jivo mango-healthy-wheatgrass-juice 500 ml  ,500 ml,1.0,100.0,100.0
20250801 - 20250810,Lucknow-Kanpur,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,3.0,4497.0,2091.9
20250801 - 20250810,Ranchi,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,2.0,2998.0,1429.48
20250801 - 20250810,Nagpur,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,7.0,1925.0,1529.15
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40304418,Jivo cold-pressed-soyabean-oil 1 L Bottle ,1 L,13.0,2925.0,2724.73
20250801 - 20250810,Raipur,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197821,Jivo pomace-olive-oil 5 L  ,5 L,1.0,4999.0,2692.3
20250801 - 20250810,Pune,Jivo,beverages,fruit-juices-drinks,juices,40335337,Jivo mojito-healthy-wheatgrass-juice 200 ml  ,200 ml,2.0,100.0,85.0
20250801 - 20250810,Vijayawada-Guntur,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,1.0,1499.0,743.85
20250801 - 20250810,Chandigarh Tricity,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,2.0,3300.0,2733.76
20250801 - 20250810,Noida,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,70.0,19250.0,12441.84
20250801 - 20250810,Visakhapatnam,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,16.0,4400.0,3396.81
20250801 - 20250810,Patna,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,1.0,375.0,325.06
20250801 - 20250810,Hyderabad,Jivo,beverages,fruit-juices-drinks,juices,40335337,Jivo mojito-healthy-wheatgrass-juice 200 ml  ,200 ml,16.0,800.0,762.5
20250801 - 20250810,Chandigarh Tricity,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,14.0,14686.0,7695.34
20250801 - 20250810,DehraDun,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,1.0,1049.0,1049.0
