Warehouse Id,SKU,Title,Listing Id,FSN,Brand,Flipkart Selling Price,Live on Website,Sales 7D,Sales 14D,Sales 30D,Sales 60D,Sales 90D,B2B Scheduled,Transfers Scheduled,B2B Shipped,Transfers Shipped,B2B Receiving,Transfers Receiving,Reserved for Orders and Recalls,Reserved for Internal Processing,Returns Processing,Orders to Dispatch,Recalls to Dispatch,Damaged,QC Reject,Catalog Reject,Returns Reject,Seller Return Reject,Miscellaneous,Length (in cm),Breadth (in cm),Height (in cm),Weight (in kg),Fulfilment Type,F Assured Badge
gur_san_wh_nl_01nl,Pomace 5L,JIVO Pomace Cooking Olive Oil Tin,LSTEDOGE5XHFZN2HZ9DTIDYKV,EDOGE5XHFZN2HZ9D,JIVO,2602,109,37,77,92,92,92,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.142684,17.169384,10.780776,4.945,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,Extra Virgin 1L,JIVO Extra Virgin Olive Oil Plastic Bottle,LSTEDOG2NMEHAREDMZ3K5TWXU,EDOG2NMEHAREDMZ3,JIVO,802,0,2,24,212,212,216,192,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.755856,7.885938,7.98576,0.97,Seller,Yes
gur_san_wh_nl_01nl,Extra Light 3L,JIVO Extra Light 3 Litre Cooking Oil Olive Oil Plastic Bottle,LSTEDOGE5WYGYXCRRMFBYSGLR,EDOGE5WYGYXCRRMF,JIVO,1668,183,210,420,645,853,853,1915,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.251406,25.45461,8.185404,2.913,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,ExtraLight1Ltr-Pomace1Ltr-Pomace1Ltr,JIVO Extra Light 1L+Pomace 1L+Pomace 1L (pack of 3) 3L Olive Oil Plastic Bottle,LSTEDOGNZ7EGKQPZ3Y91E0MAF,EDOGNZ7EGKQPZ3Y9,JIVO,1331,0,356,424,468,532,532,40,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.342328,26.552652,8.48487,2.998,Seller,Yes
gur_san_wh_nl_01nl,FL-Canola oil 3L,"JIVO Canola Cold Press Edible Oil Pack of 3, 1 Litre each (3Litres) Canola Oil PET Bottle",LSTEDOGHERSUQWAAU5SXKKXT1,EDOGHERSUQWAAU5S,JIVO,980,3,8,103,198,198,198,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.249626,25.654254,8.884158,2.934,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,Pomace olive oil 1+1L,JIVO Pomace Olive Oil Plastic Bottle 1 Ltr ( Pack of 2) Olive Oil Plastic Bottle,LSTEDOGYZHGUSADDG9B5BVVQI,EDOGYZHGUSADDG9B,JIVO,926,0,13,17,17,17,17,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.151584,17.269206,1.896618,2.035,Seller,Yes
gur_san_wh_nl_01nl,Mustard Oil 5L,JIVO Cold Pressed Pure Cooking Mustard Oil Can,LSTEDOGDVWEUPPWVGED50RMEI,EDOGDVWEUPPWVGED,JIVO,1228,0,367,439,932,1328,1333,904,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.846778,21.761196,12.278106,4.797,Seller,Yes
gur_san_wh_nl_01nl,Rice Bran oil 5 Ltr,JIVO Rice Bran Health Oil 5L - Cooking Oil for a Healthier Heart Rice Bran Oil Can,LSTEDOH3YZ46GFVHEPBMIZ400,EDOH3YZ46GFVHEPB,JIVO,1229,0,8,9,27,219,223,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.540192,23.45817,11.878818,4.885,Seller,Yes
gur_san_wh_nl_01nl,Extra Light 1L,JIVO Extra Light 1 Litre Cooking Oil Olive Oil Plastic Bottle,LSTEDOGE5WHZBGW4SKAMBXBYJ,EDOGE5WHZBGW4SKA,JIVO,633,49,36,69,150,150,150,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.055322,8.584692,7.187184,0.942,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,Canola 5L,JIVO Cold Pressed Canola Oil Can,LSTEDOFTX47SWWQPRVS6YLLNE,EDOFTX47SWWQPRVS,JIVO,1639,431,256,295,751,1211,1215,1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.746956,21.162264,11.878818,4.775,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,Pomace olive oil 1+1+1L,JIVO Pomace Olive Oil Plastic Bottle 1 Ltr (Pack of 3) Olive Oil Plastic Bottle,LSTEDOGFYRUTBCS6YHWHX7624,EDOGFYRUTBCS6YHW,JIVO,1325,150,36,72,242,273,273,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.44749,25.754076,8.085582,2.978,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,Jivo So-Olive 5L,JIVO So Olive Oil 5L Nutritious Cooking Oil for a Healthy Ideal for Daily Use Olive Oil Plastic Bottle,LSTEDOH5HEHTHKWTHYY8UTGRY,EDOH5HEHTHKWTHYY,JIVO,1249,0,16,16,16,16,16,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.533072,18.267426,12.677394,4.776,Seller,Yes
gur_san_wh_nl_01nl,New_Groudnut 1+1L-Local,JIVO Groundnut Oil for Cooking Groundnut Oil Plastic Bottle,LSTEDOHYSD9JPGYSX4MC9AEOY,EDOHYSD9JPGYSX4M,JIVO,600,8,14,14,14,14,14,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.247846,18.46707,8.684514,2.037,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,Pomace 1L,JIVO Pomace Olive Oil Plastic Bottle,LSTEDOG3WCXJMZZYVW42U8BMQ,EDOG3WCXJMZZYVW4,JIVO,550,127,27,37,59,59,60,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.855678,8.385048,7.686294,0.945,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,Sunflower Oil 5L,JIVO Cooking Sunflower Oil Can,LSTEDOGDVFWGPRVTTMS0QHHKR,EDOGDVFWGPRVTTMS,JIVO,1236,0,0,0,0,0,34,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.846778,21.262086,12.377928,4.783,Seller,Yes
gur_san_wh_nl_01nl,Groudnut 1L,JIVO Cold press Cooking Groundnut Oil PET Bottle,LSTEDOGWF6UGCWRREGZBAKW8N,EDOGWF6UGCWRREGZ,JIVO,299,0,37,82,82,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.347668,10.082022,8.085582,0.993,Seller,Yes
malur_bts,Pomace 1L,JIVO Pomace Olive Oil Plastic Bottle,LSTEDOG3WCXJMZZYVW42U8BMQ,EDOG3WCXJMZZYVW4,JIVO,550,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.855678,8.385048,7.686294,0.945,"Smart/Flipkart, Seller",Yes
gur_san_wh_nl_01nl,A2 Cow Ghee 500ml,"JIVO A2 Ghee 100% Pure, Natural & Healthy 500ml Ghee Plastic Bottle",LSTGHEGEUGZHGHGF5XHCQNKYF,GHEGEUGZHGHGF5XH,JIVO,1000,172,18,28,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.855678,11.679174,10.680954,0.937,"Smart/Flipkart, Seller",No
gur_san_wh_nl_01nl,Extra Light 5L,JIVO Extra Light olive oil 5 ltr Olive Oil Tin,LSTEDOFZFUFCQDJHTQFJQHOGV,EDOFZFUFCQDJHTQF,JIVO,3009,0,0,0,2,2,2,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.231826,22.759416,17.069562,5.33,Seller,Yes
gur_san_wh_nl_01nl,Jivo_Ricce_Bran_Oil_1+1L,"JIVO Rice Bran Healthy Cooking Oil for Healthier Heart Rich in Antioxidants, Vitamins Rice Bran Oil PET Bottle",LSTEDOHBH2FP9ES6GGAUSKHNZ,EDOHBH2FP9ES6GGA,JIVO,488,0,4,6,134,146,146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,25.853898,17.868138,6.188964,2.05,Seller,Yes
gur_san_wh_nl_01nl,A2 Cow Ghee 1kg,"JIVO A2 Ghee 100% Pure, Natural & Healthy Ghee Plastic Bottle",LSTGHEGEUJJNSCCHWQ98H1S8N,GHEGEUJJNSCCHWQ9,JIVO,1291,40,3,4,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.557992,12.877038,12.777216,1.586,"Smart/Flipkart, Seller",No
gur_san_wh_nl_01nl,Jivo_So_Olive_Oil_1+1L,JIVO So Olive Rice Bran & Olive Blend Cooking Oil Nutritious Healthy Ideal Daily Use Blended Oil PET Bottle,LSTEDOHBH2URWDMHPXCBB7KUB,EDOHBH2URWDMHPXC,JIVO,613,164,6,14,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.543752,23.058882,8.185404,2.07,"Smart/Flipkart, Seller",No
