Shipment number,EAN,SKU,Product,Invoice Id,Invoice amount,Quantity,Amount,Status,Reason,Payment method,Fulfiller Name
17539765507121748565J,,JIVO PREMIUM QUALITY DESI GHEE 1- KG,JIVO PREMIUM QUALITY DESI GHEE 1- KG NATURAL IN COLOR AND GREAT IN TASTE WITH THE GOODNESS OF VITAMIN - A,,0.0,1,620.0,Cancelled by seller,Not available,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17540186543301689159J,,Groundnut oil 5L,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,0.0,1,1199.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17539875351331985930J,,Groundnut oil 5L,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,0.0,1,1199.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17539875351331985930J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17540223883421461066J,,Extra Virgin Olive Oil 1 ltr,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,0.0,2,1398.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17540240420431312750J,,Jivo Gold_5 Ltr,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,0.0,1,850.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17540149333311685961J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Excess quantity ordered,COD,RRL HR JHJ Luhari 3P RFC
17540284659171214488J,,Sunflower 5 ltr,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,,0.0,2,2100.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17540525245251097694J,,JIVO PREMIUM QUALITY DESI GHEE 1- KG,JIVO PREMIUM QUALITY DESI GHEE 1- KG NATURAL IN COLOR AND GREAT IN TASTE WITH THE GOODNESS OF VITAMIN - A,,0.0,3,1860.0,Cancelled by seller,Not available,COD,RRL HR JHJ Luhari 3P RFC
17540575217911433342J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17540566881011838482J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17540588186021213324J,,5 Ltr Canola,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,0.0,1,1199.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
