Shipment Number,Fulfillment Type,Shipment Created At,Shipment Status,Fulfiller Name,Accepted At,Product Title,EAN,Sku,Qty,MRP,Promotion Amt,Shipping Charge,Item Total,Payment Method Used,Tracking Code,Shipping Agent Code,Invoice Id,Acceptance TAT Date & Time
17539874038411605833J,RFC Shipment,2025-08-01 00:13:24 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 12:49:49 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,SF1939965545JIM,Shadowfax,S06ENB5AKFA06419,2025-08-01 18:13:24 +0530
17539875351331985930J,RFC Shipment,2025-08-01 00:15:35 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,Groundnut oil 5L,0,2800.0,0.0,0.0,0.0,COD,,,,2025-08-01 18:15:35 +0530
17539875351331985930J,RFC Shipment,2025-08-01 00:15:35 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,0,1250.0,0.0,0.0,0.0,COD,,,,2025-08-01 18:15:35 +0530
17539878721331603666J,RFC Shipment,2025-08-01 00:21:12 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 11:53:37 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,115761161071690,Delhivery,S06ENB5AKFA06410,2025-08-01 18:21:12 +0530
17539880323291409670J,RFC Shipment,2025-08-01 00:23:54 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-01 14:02:34 +0530,"Sano Sunflower Oil 5 Ltr Pet Bottle - Pure, Nutrient-Rich Cooking Oil with High Smoke Point",,Sano_Sunflower_5L,1,1475.0,676.0,0.0,799.0,Prepaid_Payments,115761161352250,Delhivery,S06ENB5AKFA06454,2025-08-01 18:23:54 +0530
17539943302161417861J,RFC Shipment,2025-08-01 02:08:50 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:21:27 +0530,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,1,1590.0,891.0,0.0,699.0,Prepaid_Payments,115761161080580,Delhivery,S06ENB5AKFA06435,2025-08-01 20:08:50 +0530
17539951678581944476J,RFC Shipment,2025-08-01 02:22:48 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 11:57:03 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,115761161072202,Delhivery,S06ENB5AKFA06411,2025-08-01 20:22:48 +0530
17540149333311685961J,RFC Shipment,2025-08-01 07:52:13 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,0,1250.0,0.0,0.0,0.0,COD,,,,2025-08-02 01:52:13 +0530
17540171431261472116J,RFC Shipment,2025-08-01 08:29:03 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 11:32:32 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,Prepaid_Payments,115761161065434,Delhivery,S06ENB5AKFA06403,2025-08-01 11:29:03 +0530
17540172950301134307J,RFC Shipment,2025-08-01 08:31:35 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 12:41:36 +0530,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,Jivo Gold_5 Ltr,1,1049.0,199.0,0.0,850.0,Prepaid_Payments,SF1939961073JIM,Shadowfax,S06ENB5AKFA06416,2025-08-01 11:31:35 +0530
17540186543301689159J,RFC Shipment,2025-08-01 08:54:15 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,Groundnut oil 5L,0,2800.0,0.0,0.0,0.0,Prepaid_Payments,,,,2025-08-01 11:54:15 +0530
17540197114081970899J,RFC Shipment,2025-08-01 09:11:51 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:36:28 +0530,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,1,1590.0,891.0,0.0,699.0,Prepaid_Payments,SF1940010590JIM,Shadowfax,S06ENB5AKFA06439,2025-08-01 12:11:51 +0530
17540199735591195743J,RFC Shipment,2025-08-01 09:16:14 +0530,pick_up_confirmed,RRL HR JHJ Luhari 3P RFC,2025-08-01 12:43:24 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,115761161077916,Delhivery,S06ENB5AKFA06417,2025-08-01 12:16:14 +0530
17540210276711638592J,RFC Shipment,2025-08-01 09:33:48 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:37:13 +0530,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,1,1590.0,891.0,0.0,699.0,COD,SF1940010813JIM,Shadowfax,S06ENB5AKFA06440,2025-08-01 12:33:48 +0530
17540216210881008835J,RFC Shipment,2025-08-01 09:43:41 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 12:44:50 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1939962810JIM,Shadowfax,S06ENB5AKFA06418,2025-08-01 12:43:41 +0530
17540216850741115899J,RFC Shipment,2025-08-01 09:44:45 +0530,shipment_returned,RRL HR JHJ Luhari 3P RFC,2025-08-01 14:06:10 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,115761161084570,Delhivery,S06ENB5AKFA06456,2025-08-01 12:44:45 +0530
17540219912221098691J,RFC Shipment,2025-08-01 09:49:51 +0530,shipment_returned,RRL HR JHJ Luhari 3P RFC,2025-08-01 14:04:14 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,115761161084393,Delhivery,S06ENB5AKFA06455,2025-08-01 12:49:51 +0530
17540223592811457706J,RFC Shipment,2025-08-01 09:55:59 +0530,shipment_returned,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:43:43 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,115761161082083,Delhivery,S06ENB5AKFA06442,2025-08-01 12:55:59 +0530
17540223883421461066J,RFC Shipment,2025-08-01 09:56:29 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",,Extra Virgin Olive Oil 1 ltr,0,1590.0,0.0,0.0,0.0,Prepaid_Payments,,,,2025-08-01 12:56:29 +0530
17540226906271159467J,RFC Shipment,2025-08-01 10:01:31 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:45:53 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,COD,SF1940925080JIM,Shadowfax,S06ENB5AKFA06443,2025-08-01 13:01:31 +0530
17540227292311902767J,RFC Shipment,2025-08-01 10:02:09 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 15:56:40 +0530,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,,Sunflower 5 ltr,1,1350.0,300.0,0.0,1050.0,Prepaid_Payments,115761161094554,Delhivery,S06ENB5AKFA06470,2025-08-01 13:02:09 +0530
17540230187191005929J,RFC Shipment,2025-08-01 10:06:59 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:42:08 +0530,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",,5 Ltr Canola,1,1650.0,451.0,0.0,1199.0,Prepaid_Payments,115761161081943,Delhivery,S06ENB5AKFA06441,2025-08-01 13:06:59 +0530
17540235843991815672J,RFC Shipment,2025-08-01 10:16:25 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:26:43 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,Prepaid_Payments,115761161080845,Delhivery,S06ENB5AKFA06436,2025-08-01 13:16:25 +0530
17540240420431312750J,RFC Shipment,2025-08-01 10:24:02 +0530,canceled,RRL HR JHJ Luhari 3P RFC,,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,Jivo Gold_5 Ltr,0,1049.0,0.0,0.0,0.0,COD,,,,2025-08-01 13:24:02 +0530
17540254078511747891J,RFC Shipment,2025-08-01 10:46:48 +0530,delivered,RRL HR JHJ Luhari 3P RFC,2025-08-01 13:47:17 +0530,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,Mustard Oil 5L,1,1250.0,401.0,0.0,849.0,COD,SF1940925763JIM,Shadowfax,S06ENB5AKFA06444,2025-08-01 13:46:48 +0530
