"S.No","Article Id","Article Name","HSN Code","MRP (₹)","Base Cost Price (₹)","Quantity","Base Amount (₹)","IGST (%) cess (%)","IGST (₹) cess","Total Amount (₹)"
"1","CM02456486","Jivo  Soyabean Oil 1 L (Bottle)","15071000","225.00","120.00",240,"28800.00","5.00
0.00","1440.00
0.00","30240.00"
"2","CM02456487","Jivo Cold Press Kachi Ghani Mustard Oil 5 L (Jar)","15149990","1250.00","776.19",156,"121085.64","5.00
0.00","6054.28
0.00","127139.92"
"3","CM02456488","Jivo Rice Bran Oil 5 L (Jar)","15155091","1425.00","619.05",36,"22285.80","5.00
0.00","1114.29
0.00","23400.09"
"4","CM02456489","Jivo Cold Press Groundnut Oil 1 L (Bottle)","15089091","560.00","159.05",176,"27992.80","5.00
0.00","1399.64
0.00","29392.44"
"5","CM02456490","Jivo Soyabean Oil 1 L (Pouch)","15071000","199.00","117.14",1000,"117140.00","5.00
0.00","5857.00
0.00","122997.00"
"6","CM02456491","Jivo Cold Press Sunflower Oil 1 L (Bottle)","15141920","275.00","141.90",420,"59598.00","5.00
0.00","2979.90
0.00","62577.90"
"7","CM02456492","Jivo Pomace Olive Oil 1 L (Bottle)","15099090","1049.00","390.48",16,"6247.68","5.00
0.00","312.38
0.00","6560.06"
"8","CM02456493","Jivo Cold Press Kachi Ghani Mustard Oil 1 L (Bottle)","15149990","255.00","155.24",8000,"1241920.00","5.00
0.00","62096.00
0.00","1304016.00"
"9","CM02456494","Jivo Gold Multisource Oil 1 L (Bottle)","15141920","225.00","138.10",160,"22096.00","5.00
0.00","1104.80
0.00","23200.80"
"10","CM02456495","Jivo Soyabean Oil 5 L (Jar)","15071000","1100.00","600.00",80,"48000.00","5.00
0.00","2400.00
0.00","50400.00"
"11","CM02456496","Jivo Rice Bran Oil 1 L (Bottle)","15155091","285.00","123.81",432,"53485.92","5.00
0.00","2674.30
0.00","56160.22"
"12","CM02456497","Jivo Cold Press Sunflower Oil 5 L (Jar)","15141920","1350.00","709.52",24,"17028.48","5.00
0.00","851.42
0.00","17879.90"
"13","CM02456498","Jivo Cold Press Canola Oil 1 L (Bottle)","15141920","375.00","200.00",40,"8000.00","5.00
0.00","400.00
0.00","8400.00"
"14","CM02456500","Jivo So-Olive Multisource Olive Oil 1 L (Bottle)","15155091","325.00","209.52",96,"20113.92","5.00
0.00","1005.70
0.00","21119.62"
"15","CM02975981","Jivo Cold Press Kachi Ghani Mustard Oil 1 L (Pouch)","15149120","199.00","152.38",1000,"152380.00","5.00
0.00","7619.00
0.00","159999.00"
"","Total",,,,,,1946174.2399999998,,,2043482.95
