Date,SKU Number,SKU Name,EAN,SKU Category,SKU Sub Category,Brand Name,Manufacturer Name,Manufacturer ID,City,Sales (Qty) - Units,MRP,Gross Merchandise Value
07-08-2025,50b56b7f-3d9f-45c7-8161-c2327e8db652,Jivo Cold Press Canola Oil Combo | Bottle 2.0 LITER,8908000258181,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,Ludhiana,1,750,750
08-08-2025,89804a83-79f3-45c6-b940-9c395451dffa,Jivo Cold Press Kachi Ghani Mustard Oil 1.0 LITER,8908000258198,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,Ghaziabad,2,255,510
05-08-2025,2300d5e1-ccd1-46ab-990d-aa7fee80bc5d,Jivo Extra Light Olive Oil 1.0 LITER,8908000258211,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,Delhi,10,1499,14990
05-08-2025,ac9a7dd8-489b-4475-a14d-27ae393a5505,Jivo Pomace Olive Oil 1.0 LITER,8908000258549,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,Gurugram,12,1049,12588
07-08-2025,41367ef4-80d9-4819-bbae-d1806c184f5c,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,Faridabad,1,560,560
07-08-2025,a81945f0-43ac-4970-82b4-c6c8986ee9ae,Jivo Pomace Olive Oil 5.0 LITER,8908000258457,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,Mumbai,1,4999,4999
06-08-2025,50b56b7f-3d9f-45c7-8161-c2327e8db652,Jivo Cold Press Canola Oil Combo | Bottle 2.0 LITER,8908000258181,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,Chennai,1,750,750
08-08-2025,bc1af3d1-2a14-4296-b38e-e05ba43c3170,Jivo Gold Refined Oil Blend Of Rice Bran Oil and Sunflower Oil 1.0 LITER,8905604001076,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,Faridabad,1,225,225
06-08-2025,ac9a7dd8-489b-4475-a14d-27ae393a5505,Jivo Pomace Olive Oil 1.0 LITER,8908000258549,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,Pune,3,1049,3147
04-08-2025,06c8f55b-13a5-4d9b-8990-a418e63c89ad,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,Jaipur,2,275,550
04-08-2025,2300d5e1-ccd1-46ab-990d-aa7fee80bc5d,Jivo Extra Light Olive Oil 1.0 LITER,8908000258211,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,Faridabad,2,1499,2998
07-08-2025,dc9c5857-5d89-45c7-895a-373097239ff7,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,Bengaluru,1,325,325
07-08-2025,4acb73bc-1e89-47d8-8625-05e6a34b698b,Jivo Rice Bran Daily Cooking Oil 1.0 LITER,8905604002059,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,Faridabad,2,285,570
